gene	SRR1634013	SRR1634014	SRR1634015	SRR1634016	SRR1634017
ENSG00000001630.15	115.854538735286	137.384022202453	137.774151325636	140.464210094222	145.956533118153
ENSG00000002834.17	142.182887339016	147.997045339444	153.475115236457	154.948739312737	134.526625066179
ENSG00000003989.16	402.499273104034	371.525719253424	366.032879645583	422.310823977077	457.37601848398
ENSG00000004142.11	62.2650287394814	72.0988183836632	78.5498148471659	92.8242656358932	72.0615341179787
ENSG00000004478.7	194.944379811512	245.320390015764	314.116448902503	390.108188675062	378.317555596579
ENSG00000004897.11	70.3945326687653	64.3248013153699	71.6593122558951	84.5581534654294	97.3023275880876
ENSG00000005007.12	85.2934509072968	104.139090627132	115.858092892754	110.194140364703	84.3244098805988
ENSG00000005022.5	172.596901983886	187.473723118712	187.842424339998	208.517618699775	241.873232958364
ENSG00000005339.14	102.588717523987	76.8215433438882	91.9732510518904	129.340231894514	108.973234724884
ENSG00000005483.20	97.1820914252918	78.8642636263503	80.8986648794942	85.3010470221032	98.9673270906025
ENSG00000005810.17	97.7218095284808	82.9309479950249	74.6414471043576	98.4651397977285	95.072033144865
ENSG00000005812.10	62.4867629268749	50.3949153825031	54.4352098077048	53.2713429370438	57.9623857168346
ENSG00000005889.15	129.739236704908	131.096007409757	116.114183124524	123.271530639772	130.061824545242
ENSG00000006118.14	63.3754987367927	60.4128555657549	72.8047775355694	61.8373604782821	44.5034057584787
ENSG00000006125.16	95.0731429370809	98.3097500881773	85.3019808459479	102.960403870254	111.20961264015
ENSG00000006327.13	54.6073283854019	52.8319420633955	63.9450128629864	38.5380770366075	29.7364793106542
ENSG00000006432.15	56.8736946537096	52.6405436062115	47.8510581478972	49.4190039642668	39.5907681032226
ENSG00000006712.14	48.4558913043057	45.1282607310383	48.9946087342499	65.3305710607793	61.083674834815
ENSG00000006744.18	60.0647779388144	63.695189909444	69.0342677119195	68.9289617259179	66.8835634897249
ENSG00000006756.15	107.300456564827	99.9112734815851	87.7633191109229	83.0557839066204	88.9567398624411
ENSG00000006831.9	133.275739576054	92.958692553589	101.151812162527	109.370703501502	109.013011272864
ENSG00000007202.14	367.190914793411	362.171492651098	351.81963244568	432.62984289567	431.977522700114
ENSG00000008018.8	102.985410329831	109.606948111093	113.67677852607	105.379545771005	120.526684055291
ENSG00000008083.13	131.04715357497	247.895956782591	166.900466134503	147.087712595689	137.276354430085
ENSG00000008282.8	89.2725226230575	91.5404683508028	83.1891167655124	81.4937175441501	79.7295166497968
ENSG00000008283.15	116.221547045455	127.725433688257	149.422666821195	137.513482370393	100.588806370033
ENSG00000008294.20	152.335434625087	128.472271320743	119.428038590962	115.382076873362	130.329965274567
ENSG00000008513.14	192.028552759033	222.173965012131	198.873451239327	89.0297283301532	47.3359639340612
ENSG00000008952.16	103.590794135575	108.608180660799	104.781592027036	111.153553280688	89.4537127325003
ENSG00000008988.9	313.231248131836	337.631141244365	372.215424381176	407.700741957211	419.5115525631
ENSG00000009307.15	3348.39132252058	3401.56918835693	3285.56395791688	3460.49247003344	3349.56906663604
ENSG00000009335.17	144.681332391695	163.721558231652	155.813913128847	153.221322279808	145.859197565449
ENSG00000009413.15	166.203491286527	161.192881955449	152.088398598256	145.259853321679	141.203469614206
ENSG00000009954.10	153.960885645857	170.722734759022	180.456973525082	206.871218757529	171.10888226393
ENSG00000010244.17	143.27626626306	124.164740341135	132.241166299412	129.220838287191	122.001224086889
ENSG00000010278.12	230.169531581226	258.985557815198	280.962098018224	280.587769380251	301.194572737959
ENSG00000010292.12	106.498525416505	80.0211799132038	66.2196685291009	118.076013584617	189.614336262511
ENSG00000011007.12	62.2160043451084	78.2734434444862	75.2799973271263	69.06635913117	54.7184912391974
ENSG00000011052.21	210.734282685391	229.594598291993	240.00393582825	226.11064576608	266.902508785095
ENSG00000011114.14	84.2454982569382	68.8365190677862	68.7599878935938	77.9919788468441	78.5890996212334
ENSG00000011304.18	111.037104899239	116.91973326252	126.330986688823	168.083457470687	147.547127077976
ENSG00000011405.13	150.858406082693	134.674604398753	125.344440954845	129.857604192911	136.024563067177
ENSG00000011426.10	102.456936353792	89.9875405567691	92.3054503431958	163.426159216795	198.198115316651
ENSG00000011454.16	121.032684170298	89.4777130405285	94.9094332606333	120.874656594356	121.099934305595
ENSG00000011566.14	91.6333395594232	105.557314829918	114.81745707244	89.3495326354816	96.8783563825568
ENSG00000012048.20	47.705683140873	47.3120787625603	52.6612464452005	91.2934690277216	88.5402560071184
ENSG00000012660.13	62.3073066575646	68.0884026037376	67.5025130546033	85.5616283079262	89.9539613182756
ENSG00000012963.14	60.0175526047854	60.597433587939	61.1979066197559	86.6001631779702	85.578541040447
ENSG00000013306.15	78.1192480206574	80.6252146878801	99.3673179867539	113.021684207961	118.313704109425
ENSG00000013375.15	87.7203833113032	76.9481476685733	64.9569282834759	62.2073859041508	69.0520872937311
ENSG00000013588.6	254.168546804609	185.558033438122	167.316911931961	130.105393306521	157.598894732281
ENSG00000014123.9	57.8244980454942	45.6099539529044	45.7616490606519	47.8536211127042	48.7791506866626
ENSG00000014216.15	147.830137758717	139.316762970542	142.404358450705	134.170935149517	132.684736914999
ENSG00000015133.18	79.5189169682608	121.041407388381	84.7414543760363	62.2699254127484	51.5644449640568
ENSG00000015171.18	197.046132058347	223.633538102104	206.748106197924	191.303145174147	186.798156665508
ENSG00000015479.17	329.707042761851	333.970272758183	306.311680250146	328.299729030298	373.283248500442
ENSG00000017260.19	108.961439027391	106.822505522394	103.728032026801	121.085964327951	111.750105733294
ENSG00000017797.11	76.5306777369379	70.9636422333718	69.7427042409282	78.046937808945	83.6884530723027
ENSG00000019995.6	101.57764561068	87.7056787721239	79.2989386092596	83.6015832543807	86.3899826192443
ENSG00000022277.12	114.453070727339	113.922578357263	111.687890838211	109.544108502613	117.145677476969
ENSG00000023228.13	110.847304032951	110.806918393883	99.183507427876	103.461667507347	111.788946362498
ENSG00000023287.12	112.952654400473	88.99303587835	80.3644654427552	89.3604296710705	113.045417319286
ENSG00000023516.8	145.516096391294	141.856948730807	143.22480453903	166.958220100088	145.398725527654
ENSG00000023734.10	86.7196559949736	102.49579206935	117.847459253943	128.714363024382	100.73714949603
ENSG00000024048.10	81.5599509284871	66.6070893772026	67.5475083476619	81.6268508919979	84.9701938360431
ENSG00000026508.16	52.6288117721284	70.6464920058777	77.1855958554937	97.996567267403	91.087826915407
ENSG00000028203.17	92.1064924298855	77.7695838088706	76.174637781665	62.7560279568474	66.7188417851478
ENSG00000029363.15	211.241167937303	210.427044556411	210.565047334623	246.978468918947	233.911839890268
ENSG00000029364.11	149.730395247028	136.33751170716	122.229713593859	142.345133193709	154.528145228205
ENSG00000029725.16	73.9022505744076	79.1831189625944	83.3987756842325	91.8079986211832	92.2563215072506
ENSG00000030066.13	72.3582070342012	71.1115604174315	67.693025040107	88.6279593658297	92.1220171628938
ENSG00000030582.16	93.650535970092	85.597311802788	91.0489328508661	83.7285574082	66.1783486920043
ENSG00000031698.12	140.959526305121	166.499606662538	194.930619016729	165.236488477031	152.496265565496
ENSG00000033050.7	55.0566437063068	82.7548955165907	96.8365720888693	68.7944070256019	47.7365371701918
ENSG00000033170.16	218.592128502736	185.845770539679	167.238409505774	173.450484390331	163.534491609712
ENSG00000033178.12	104.894663119862	95.3253834985451	102.373865175067	104.454719098411	121.003534671666
ENSG00000033800.13	65.5469645719564	53.2991418608868	50.4713159585688	57.8173019142662	65.4909163510278
ENSG00000033867.16	147.603456155377	137.843122733382	123.017609895716	111.411291861575	109.801990801037
ENSG00000034510.5	349.350083127414	402.828105685344	488.352105152229	347.590324727702	366.901218366857
ENSG00000034677.12	114.589349548394	70.9069473674353	67.9160868120786	69.9599160494651	79.5437367727596
ENSG00000035115.21	70.3805899510996	64.0715926659996	53.0523225561466	31.957215109185	34.3159298816522
ENSG00000035403.16	168.506738291886	236.004102083124	146.106417988106	83.9640281337528	75.6105381165939
ENSG00000037474.14	88.6558946901641	122.318960119295	110.125979761079	89.46703110618	74.1191515470282
ENSG00000038219.12	76.8095320902522	67.4302306262498	63.4605954526101	76.2982004889942	70.9856954849597
ENSG00000038382.17	227.02567363015	212.424153179811	222.558686301409	193.831731214943	177.579824681236
ENSG00000039068.18	849.77400981371	932.340249889901	1048.07727590877	1089.66281345905	1121.33504859885
ENSG00000039319.16	85.0424819893139	74.1564583676876	66.7222755260328	82.2948865520171	81.5816999075129
ENSG00000040199.18	104.575329908809	103.825350617137	110.601781051507	113.036371516798	103.906638430975
ENSG00000040341.17	54.4719490945187	52.5680764843378	43.3405193554314	45.7708659627438	54.0759829994692
ENSG00000041353.9	172.966159119485	89.1311496870974	57.7921458738794	53.6105723927698	57.9970147115468
ENSG00000041357.15	110.187948416888	116.190799271908	120.587864070548	118.716095979429	133.491966859304
